BRAND_ID,TERRITORY_ID,PRIMARY_CATEGORY,DOMAIN_AUTHORITY,TOTAL_PRODUCTS,TOTAL_PRESS_RELEASES,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,IS_AN_AFFILIATE
35044,1,72,11.0,108,3,0,True,False,False,True,True
35074,4,217,32.0,126,0,0,False,False,False,False,False
35076,1,109,10.0,115,0,0,False,False,False,False,False
35084,1,376,26.0,441,4,2,True,False,True,True,False
35140,1,439,28.0,439,21,0,True,True,True,True,True
35221,1,63,24.0,72,0,0,False,False,True,True,True
35227,1,965,43.0,549,25,0,False,False,False,False,False
35238,1,38,7.0,40,0,0,False,True,True,True,False
35256,4,1,20.0,1,0,0,False,False,False,False,False
35278,1,168,13.0,297,3,0,False,False,False,True,False
35294,5,500,25.0,809,0,0,False,False,False,False,False
35355,1,455,23.0,1027,3,2,False,False,False,False,True
35385,1,159,18.0,126,2,1,True,True,True,True,False
35404,1,62,11.0,63,5,1,False,False,False,False,True
35411,3,5,14.0,6,0,0,False,False,False,False,True
35426,1,391,26.0,196,0,0,True,False,True,True,False
35434,1,79,10.0,80,1,0,False,False,False,True,False
35446,1,43,8.0,48,1,0,False,False,False,True,False
35450,1,68,9.0,37,1,0,True,False,False,True,True
35512,1,303,44.0,270,2,0,False,False,False,False,False
35514,1,90,12.0,89,0,0,True,False,True,True,False
35519,1,154,8.0,155,0,0,False,False,True,True,True
35564,1,61,15.0,121,2,0,True,True,True,True,True
35612,1,184,38.0,226,29,0,True,True,True,True,True
35616,1,214,28.0,108,1,0,False,False,False,False,False
35630,4,130,54.0,176,34,0,True,False,True,True,False
35636,1,207,10.0,202,5,0,True,False,True,True,False
35681,1,112,30.0,111,0,0,False,False,False,False,False
35754,1,445,16.0,1099,36,4,True,False,False,True,False
35798,1,384,14.0,413,0,0,True,True,True,True,True
35800,1,376,28.0,338,0,0,True,True,False,True,False
35814,3,73,27.0,192,5,0,False,False,False,False,True
35912,4,356,30.0,178,14,0,True,False,False,True,False
35913,1,54,12.0,27,0,0,False,False,False,False,False
35914,4,292,19.0,156,1,0,True,False,False,True,True
35922,1,65,11.0,127,0,0,False,False,False,False,False
35947,1,53,14.0,32,5,0,False,False,False,False,True
36000,1,509,32.0,825,3,1,True,False,True,True,False
