BRAND_ID,USER_ID,TOTAL_INTERACTIONS
131,17678,25
131,18049,2
131,19651,1
131,16475,2
131,18110,33
131,21414,1
131,20879,2
131,20679,3
131,18596,3
131,8887,4
131,19677,1
131,13038,1
131,19946,5
131,17384,1
131,18112,7
131,15295,1
131,21389,3
131,18015,1
131,15766,2
131,18161,10
131,16330,1
131,12201,1
131,19483,9
131,18761,1
131,19644,1
131,258,3
131,17391,3
131,20642,1
131,19226,11
131,317,1
131,17842,3
131,22249,2
131,21946,1
131,16405,1
131,21673,1
131,18010,1
131,9303,24
131,578,1
131,17755,1
131,20675,4
131,22631,1
131,22900,1
131,2956,1
131,18983,15
131,9799,2
131,11117,2
131,23001,4
131,22588,1
131,23149,7
131,19633,10
131,16518,1
131,20667,1
131,20208,5
131,21072,1
131,1263,1
131,21588,2
131,23253,2
131,23538,1
131,4753,10
131,18829,9
131,23124,3
131,22578,1
131,21067,1
131,23607,3
131,14133,1
131,9223,1
131,22144,1
131,22163,2
131,9641,7
131,18679,5
131,8609,5
131,23237,13
131,16252,1
131,23371,1
131,11051,2
131,22244,4
131,20623,1
131,23099,11
131,17875,1
131,14091,6
131,24115,4
131,23696,7
131,19906,1
131,23429,33
131,10593,1
131,7133,1
131,24565,1
131,22892,2
131,21212,1
131,253,11
131,17481,1
131,19974,1
131,3176,1
131,18065,1
131,22309,1
131,24191,1
131,2983,1
131,24808,6
131,2870,3
131,23744,1
131,24625,1
131,25238,1
131,26051,15
131,22642,1
131,25958,5
131,14217,2
131,22375,5
131,25158,5
131,19701,2
131,27453,10
131,24024,154
131,27456,18
131,23294,9
131,26874,5
131,23181,8
131,23024,1
131,525,4
131,20778,3
131,27561,9
131,27331,2
131,26021,1
131,26552,4
131,25084,3
131,27201,16
131,24991,1
131,24386,11
131,27090,3
131,27209,2
131,27546,5
131,19183,31
131,25365,5
131,27060,1
131,25080,1
131,16257,3
131,23299,1
131,16302,1
131,2868,1
131,26274,2
131,24761,1
131,414,2
131,16436,1
131,31608,24
131,24289,3
131,27611,1
131,27435,1
131,27423,1
131,27417,3
131,31919,2
131,24145,9
131,27486,1
131,16149,1
131,8273,1
131,9122,11
131,32179,7
131,26785,1
131,23127,3
131,1679,20
131,32279,5
131,4825,1
131,23566,6
131,21444,1
131,32408,1
131,31886,2
131,23666,9
131,494,3
131,25179,2
131,15204,1
131,26409,3
131,32036,1
131,21923,34
131,24707,5
131,8859,3
131,25673,1
131,32081,4
131,32732,23
131,25806,1
131,30928,10
131,32640,3
131,31184,7
131,23899,2
131,25231,9
131,32397,2
131,31859,1
131,5197,8
131,25684,4
131,30990,10
131,11692,3
131,18362,1
131,33091,1
131,27142,7
131,10045,84
131,11914,2
131,32737,13
131,21010,1
131,32482,1
131,24250,8
131,27317,2
131,32719,45
131,32793,10
131,501,3
131,33398,4
131,3762,1
131,3427,5
131,33277,4
131,7879,49
131,24251,6
131,26476,1
131,16854,1
131,32770,18
131,22921,2
131,24071,6
131,27625,3
131,16811,6
131,25047,1
131,26357,1
131,26398,1
131,941,3
131,26319,21
131,26370,3
131,34049,5
131,4171,3
131,23754,2
131,552,9
131,25451,2
131,26332,1
131,26124,1
131,27542,2
131,26863,1
131,25300,12
131,27288,2
131,27358,1
131,34345,3
131,31175,4
131,34476,4
131,23297,1
131,15953,29
131,24475,10
131,25464,16
131,25090,1
131,32755,1
131,34402,4
131,17834,1
131,9239,1
131,31177,1
131,18276,4
131,27410,1
131,34755,1
131,33111,4
131,27200,1
131,4999,1
131,31217,1
131,18891,1
131,34248,2
131,17924,5
131,32066,8
