USER_ID,TERRITORY_ID,TYPE_IN_HOUSE,TYPE_FREELANCE,TOTAL_DOWNLOADS,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,USES_AFFILIATES
1141,1,False,True,646,0,False,False,False,False,False
1145,1,False,True,10,0,False,False,False,False,False
1148,1,False,True,23,0,False,False,False,False,False
1149,1,False,True,2,0,False,False,False,False,False
1156,1,False,True,17,0,False,False,False,False,False
1160,1,False,True,120,0,False,False,False,False,False
1163,1,False,True,388,0,False,False,False,False,False
1164,1,False,True,141,0,False,False,False,False,False
1173,1,False,True,1,0,False,False,False,False,False
1177,1,False,True,107,0,False,False,False,False,False
1181,1,True,False,1170,0,False,False,False,False,False
1190,1,False,True,97,0,False,False,False,False,False
1191,1,True,False,23,0,False,False,False,False,False
1193,1,False,True,976,0,False,False,False,False,False
1198,1,False,True,64,0,False,False,False,False,False
1199,1,False,True,29,0,False,False,False,False,False
1203,1,False,True,7,0,False,False,False,False,False
1206,1,False,True,9,0,False,False,False,False,False
1210,1,False,True,1188,0,False,False,False,False,False
1224,1,False,True,1,0,False,False,False,False,False
1228,1,False,True,397,0,False,False,False,False,False
1232,1,False,True,3,0,False,False,False,False,False
1234,1,False,True,1,0,False,False,False,False,False
1238,1,True,False,945,0,False,False,False,False,False
1242,1,False,True,166,0,False,False,False,False,False
1244,1,False,True,140,0,False,False,False,False,False
1253,1,False,True,1,0,False,False,False,False,False
1254,1,False,True,329,0,False,False,False,False,False
1255,1,False,True,1,0,False,False,False,False,False
1258,1,False,True,3,0,False,False,False,False,False
1262,1,False,True,1035,0,False,False,False,False,False
1263,1,True,False,82,0,False,False,False,False,False
1265,1,True,False,1306,0,False,False,False,False,False
1266,1,False,True,146,0,False,False,False,False,False
1268,1,False,True,12,0,False,False,False,False,False
1269,1,False,True,195,0,False,False,False,False,False
1270,1,False,True,2,0,False,False,False,False,False
1284,1,True,False,190,0,False,False,False,False,False
1286,1,False,True,14,0,False,False,False,False,False
1288,1,False,True,1,0,False,False,False,False,False
1291,1,False,True,195,0,False,False,False,False,False
1292,1,False,True,2,0,False,False,False,False,False
1317,1,False,True,4253,0,False,False,False,False,False
1330,1,False,True,336,0,False,False,False,False,False
1331,1,False,True,88,0,False,False,False,False,False
1345,1,False,True,490,0,False,False,False,False,False
1346,1,False,True,95,0,False,False,False,False,False
1354,1,False,True,2343,0,False,False,False,False,False
1358,1,False,True,177,0,False,False,False,False,False
1361,1,False,True,1749,0,False,False,False,False,False
1363,1,False,True,3,0,False,False,False,False,False
1367,1,False,True,89,0,False,False,False,False,False
1368,1,False,True,15,0,False,False,False,False,False
1377,1,False,True,8,0,False,False,False,False,False
1380,1,False,True,27,0,False,False,False,False,False
1381,1,False,True,403,0,False,False,False,False,False
1384,1,False,True,150,0,False,False,False,False,False
1389,1,False,True,146,0,False,False,False,False,False
1391,1,False,True,1,0,False,False,False,False,False
1393,1,False,True,1,0,False,False,False,False,False
1394,1,False,True,131,0,False,False,False,False,False
1401,1,False,True,9646,0,False,False,False,True,False
1412,1,False,True,96,0,False,False,False,False,False
1417,1,False,True,2,0,False,False,False,False,False
