USER_ID,TERRITORY_ID,TYPE_IN_HOUSE,TYPE_FREELANCE,TOTAL_DOWNLOADS,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,USES_AFFILIATES
443,1,1,0,442,0,0,0,0,0,0
452,1,0,1,1,0,0,0,0,0,0
459,1,0,1,213,0,0,0,0,0,0
460,1,0,1,757,0,0,0,0,0,0
461,1,0,1,919,0,0,0,0,0,0
462,1,0,1,34,0,0,0,0,0,0
463,1,0,1,3,0,0,0,0,0,0
475,1,0,1,7,0,0,0,0,0,0
476,1,0,1,21,0,0,0,0,0,0
477,1,0,1,248,0,0,1,0,0,0
478,1,0,1,1,0,0,0,0,0,0
482,1,0,1,3,0,0,0,0,0,0
494,1,0,1,1867,0,0,0,0,0,0
501,1,1,1,354,0,0,0,0,0,0
503,1,0,1,7,0,0,0,0,0,0
507,1,0,1,547,0,0,0,0,0,0
509,1,0,1,2,0,0,0,0,0,0
515,1,0,1,15,0,0,0,0,0,0
516,1,0,1,83,0,0,0,0,0,0
517,1,1,0,2,0,0,0,0,0,0
525,1,0,1,4068,0,1,1,0,1,1
528,1,0,1,18,0,0,0,0,0,0
534,1,0,1,1,0,0,0,0,0,0
546,1,0,1,21,0,0,0,0,0,0
547,1,0,1,39,0,0,0,0,0,0
552,1,0,1,2517,0,0,0,0,0,0
559,1,0,1,32,0,0,0,0,0,0
562,1,1,0,4,0,0,0,0,0,0
564,1,0,1,1035,0,0,0,0,0,0
565,1,1,0,27,0,0,0,0,0,0
568,1,0,1,96,0,0,0,0,0,0
569,1,0,1,101,0,0,0,0,0,0
570,1,0,1,34,0,0,0,0,0,0
572,1,0,1,10,0,0,0,0,0,0
573,1,0,1,19,0,0,0,0,0,0
574,1,0,1,68,0,0,0,0,0,0
575,1,0,1,84,0,0,0,0,0,0
576,1,0,1,860,0,0,0,0,0,0
578,1,0,1,2636,0,0,0,0,0,0
581,1,1,0,22,0,0,0,0,0,0
588,1,0,1,5,0,0,0,0,0,0
590,1,0,1,24,0,0,0,0,0,0
596,1,0,1,1,0,0,0,0,0,0
599,1,0,1,6,0,0,0,0,0,0
607,1,0,1,107,0,0,0,0,0,0
610,1,0,1,3,0,0,0,0,0,0
613,1,0,1,532,0,0,0,0,0,0
614,1,0,1,22,0,0,0,0,0,0
617,1,0,1,56,0,0,0,0,0,0
619,1,0,1,29,0,0,0,0,0,0
627,1,0,1,183,0,0,0,0,0,0
629,1,0,1,41,0,0,0,0,0,0
633,1,0,1,1,0,0,0,0,0,0
636,1,0,1,294,0,0,0,0,0,0
639,1,0,1,218,0,0,0,0,0,0
641,1,0,1,441,0,0,0,0,0,0
